usefulCount,coolCount,funnyCount,tipCount,friendCount,reviewCount,avg_posting_rate,postive_ratio,average_content_similarityBM,reviewer_deviattion,membership_length,rev_duration,pn_ratio,capital_diversity,flagged
0,0,0,0,0,0.0005,0.0169,0.5,0.0528,0.1208,0.3708,0,0.0103,0.0831,Y
0.1304,0,0,0,0.0014,0.0411,0.0069,0.83,0.1881,0.1314,0.3596,0.3756,0.1443,0.1288,N
0,0,0,0,0,0.0125,0.0075,0.42,0.103,0.1208,0.4045,0.3883,0.0103,0.1956,Y
0.087,0.05,0,0,0.0153,0.0225,0.0079,0.78,0.2151,0.1314,0.7191,0.4888,0.1237,0.2319,N
0,0,0,0,0.0014,0.008,0.0151,0.82,0.0788,0.4544,0.4494,0.0774,0.0309,0.1768,Y
0.087,0.15,0,0.0762,0.0273,0.2038,0.0099,0.73,0.1782,0.1314,0.7079,0.7223,0.0825,0.1393,N
0,0,0,0,0,0,0,1,0,0.1208,0.5169,0,0.0206,0.1124,Y
0.1304,0.05,0.0357,0,0.0038,0.032,0.0099,0.49,0.115,0.7314,0.6854,0.6271,0.0206,0.1534,N
0,0,0,0,0.0002,0.0025,0.0847,0.83,0.0987,0.065,0.0225,0,0.0309,0.1089,Y
0.1304,0.15,0.1071,0.0423,0.0203,0.2063,0.0116,0.47,0.2285,0.1562,0.5056,0.5161,0.0206,0.1311,N
0,0,0,0,0.0002,0.0055,0.0508,0.91,0.0721,0.065,0.236,0.0605,0.0619,0.1112,Y
0.1304,0.4,0.1429,0.1069,0.0863,0.3295,0.0053,0.8,0.1465,0.1314,0.6067,0.6185,0.1546,0.1405,N
0,0,0,0,0,0,0,0,0,0.7978,0.2247,0,0,0.1241,Y
0.087,0,0.0714,0.0698,0.0253,0.1472,0.0195,0.63,0.2152,0.7314,0.236,0.2302,0.0412,0.1206,N
0,0,0,0,0,0,0,1,0,0.3526,0.236,0,0.0206,0.1136,Y
0,0,0,0.0063,0.0749,0.2809,0.0215,0.57,0.1842,0.1314,0.7303,0.7481,0.0515,0.1874,N
0,0,0,0,0,0.0005,0.0169,0.5,0.2109,0.5102,0.2921,0,0.0103,0.0925,Y
0,0,0,0,0.0036,0.0075,0.0092,0.88,0.2826,0.1314,0.1573,0.1106,0.0515,0.2658,N
0,0,0,0,0,0.0015,0.0508,0,0.2008,0.2226,0.4719,0,0,0,Y
0,0,0,0,0,0,0.0169,1,0.8944,0.1314,0.0449,0,0.0309,0.2131,N
0,0,0,0,0,0.0015,0.0508,0.75,0.214,0.065,0.5393,0,0.0206,0.24,Y
0.0435,0,0,0.0063,0.0006,0.0125,0.009,0.65,0.2212,0.1562,0.5056,0.5052,0.0309,0.1358,N
0,0,0,0,0.0002,0,0,0,0,0.3558,0.0562,0,0,0.0679,Y
0,0,0.0357,0,0.0092,0.0576,0.0148,0.56,0.1453,0.4438,0.5281,0.4813,0.0206,0.1674,N
0,0,0,0,0,0,0,0,0,0.3558,0.1124,0,0,0.2213,Y
0.0435,0,0,0,0,0.014,0.0076,0.79,0.1631,0.1562,0.3596,0.3539,0.1237,0.123,N
0,0,0,0,0,0.0015,0.0169,0.75,0.009,0.0682,0.1461,0.009,0.0206,0.2178,Y
0,0,0,0,0,0.0035,0.0212,0.66,0.3049,0.1314,0.3708,0.3711,0.0309,0.0984,N
0,0,0,0,0,0,0,0,0,0.3558,0.2921,0,0,0.0831,Y
0.087,0,0,0,0.0014,0.029,0.0613,0.85,0.2019,0.1314,0.0674,0.0486,0.1031,0.1206,N
0,0,0,0,0,0,0,0,0,0.3558,0.3034,0,0,0.1429,Y
0,0,0.0357,0,0.0004,0.008,0.0169,0.77,0.1827,0.0193,0.5056,0.3815,0.0722,0.1405,N
0,0,0,0,0,0.0005,0.0169,0.5,0.0453,0.3558,0.3371,0,0.0103,0.1288,Y
0,0,0,0,0,0.001,0.0085,0.33,0.122,0.2683,0.0899,0.0531,0,0.1628,N
0,0,0,0,0,0.001,0.0085,0.66,0.0295,0.1504,0.2809,0.0004,0.0103,0.1956,Y
0,0,0.0714,0,0.0006,0.004,0,0.66,0.0674,0.8821,0.4719,0.2556,0.0206,0.0785,N
0,0,0,0,0,0.0045,0.0254,0.8,0.2401,0.1372,0.382,0.3038,0.0412,0.1148,Y
0.0435,0,0,0.0011,0.1811,0.5904,0.0532,0.77,0.2392,0.1096,0.9663,0.9794,0.3196,0.3138,N
0,0,0,0,0,0.002,0.0042,0.4,0.0515,0.1504,0.3371,0.2317,0,0.1159,Y
0.0435,0,0,0,0.0002,0.021,0.0203,0.47,0.2463,0.4656,0.3483,0.1413,0.0103,0.1393,N
0,0,0,0,0,0.0015,0.0508,0.75,0.0705,0.1504,0.5281,0,0.0206,0.0984,Y
0.1304,0,0.0357,0,0.005,0.1097,0.0165,0.67,0.1834,0.1096,0.5955,0.2115,0.0412,0.0855,N
0,0,0,0,0,0.001,0.0085,0,0.1216,0.4656,0.0225,0.0041,0,0.1733,Y
0.087,0.05,0,0.1429,0.0478,0.2253,0.013,0.65,0.2067,0.1096,0.2809,0.3004,0.0825,0.1932,N
0,0,0,0,0,0,0,0,0,0.4656,0.0225,0,0,0.1112,Y
0,0,0,0,0.001,0.0015,0.0254,0.4,0.4702,0.4656,0.4944,0.0467,0,0.0773,N
0,0,0,0,0.0002,0.015,0.0268,0.67,0.1685,0.178,0.191,0.1136,0.0309,0.5269,Y
0,0,0,0,0,0.0015,0.0508,0.5,0.0248,0.6848,0.0899,0,0.0103,0.144,N
0,0,0,0,0,0.001,0.0085,1,0.0496,0.6848,0.1011,0.0392,0.0412,0.2295,Y
0,0,0,0,0.001,0.0346,0.0528,0.65,0.2946,0.1372,0.6404,0.4462,0.0206,0.1288,N
0,0,0,0,0,0.0015,0.0508,0.5,0.0524,0.178,0.1348,0,0.0103,0.1417,Y
0,0,0,0.0011,0.1811,0.5904,0.0532,0.77,0.2392,0.1372,0.9663,0.9794,0.3196,0.13,N
0,0,0,0,0,0.002,0.0254,0.8,0.0852,0.5945,0.0337,0.0052,0.0206,0.0585,Y
0.0435,0,0,0,0.0078,0.0871,0.0591,0.6,0.2093,0.1504,0.573,0.3569,0.0309,0.1136,N
0,0,0,0,0,0,0,1,0,0.2683,0.0337,0,0.0206,0.192,Y
0.0435,0.05,0,0,0.001,0.0025,0.0068,0.57,0.3391,0.1372,0.5618,0.2564,0.0103,0.1557,N
0,0,0,0,0,0,0,1,0,0.2683,0.0449,0,0.0206,0.1792,Y
0.2609,0.05,0,0.0529,0.1166,0.4231,0.0165,0.59,0.2005,1,0.6517,0.6304,0.0309,0.0995,N
0,0,0,0,0,0,0,1,0,0.2683,0.0449,0,0.0206,0.1651,Y
0,0,0,0,0.0052,0.0696,0.0137,0.58,0.1753,0.1372,0.573,0.5945,0.0206,0.0808,N
0,0,0,0,0,0,0,1,0,0.0193,0.1348,0,0.0206,0.2389,Y
0.0435,0.05,0.0357,0.0138,0.0138,0.0951,0.0128,0.61,0.2156,0.1504,0.5281,0.2963,0.0412,0.1616,N
0,0,0,0,0,0,0,1,0,0.2683,0.1348,0,0.0206,0.0948,Y
0.0435,0.1,0,0,0.0014,0.0381,0.1017,0.64,0.1697,0.1504,0.4382,0.281,0.0412,0.0621,N
0,0,0,0,0,0,0,1,0,0.2683,0.1348,0,0.0206,0.1475,Y
0,0,0,0,0,0,0.0169,1,1,0.1504,0.427,0,0.0309,0.2061,N
0,0,0,0,0,0,0,1,0,0.1314,0.0112,0,0.0206,0.1429,Y
0,0,0.0357,0,0.0002,0.0506,0.2394,0.8,0.2829,0.1504,0.0899,0.1039,0.0928,0.0527,N
0,0,0,0,0,0.006,0,1,0.0766,0.1314,0.0787,0.0071,0.1443,0.0796,Y
0,0,0,0,0.0006,0.0015,0,0.2,0.1147,0.1504,0.2584,0.1084,0,0.1663,N
0,0,0,0,0,0.001,0.0339,1,0.0292,0.1314,0.1011,0,0.0412,0.1639,Y
0,0,0,0.0582,0.0197,0.2328,0.0282,0.78,0.1798,0.1504,0.4831,0.506,0.1031,0.1382,N
0,0,0,0,0,0.0015,0.0508,1,0.0715,0.1314,0.1011,0,0.0515,0.1639,Y
0.0435,0,0,0.0011,0.0014,0.0035,0.0395,0.5,0.1309,0.1504,0.1124,0.0194,0.0103,0.0691,N
0,0,0,0,0,0.002,0.0113,0.8,0.0687,0.1314,0.1236,0.0045,0.0515,0.137,Y
0,0,0,0.0063,0,0.001,0,1,0.0532,0.1372,0.0449,0.003,0.0412,0.1218,N
0,0,0,0.0011,0,0,0,1,0,0.1314,0.1685,0,0.0206,0.1616,Y
0,0,0,0.0349,0.0074,0.0361,0.0204,0.81,0.1828,0.1372,0.1236,0.1312,0.0619,0.3115,N
0,0,0,0,0,0.0005,0.0169,1,0.0923,0.1314,0.2135,0,0.0309,0.1651,Y
0,0,0,0.0085,0.0213,0.1302,0.0135,0.38,0.1976,0.3558,0.3146,0.3311,0.0309,0,N
0,0,0,0,0.0004,0.0045,0.0073,1,0.1,0.1314,0.3258,0.102,0.1134,0.1651,Y
0,0,0,0,0.0002,0.0145,0.0339,0.6,0.1315,0.2194,0.382,0.3528,0.0309,0.1429,N
0,0,0,0,0,0.001,0.0339,0.66,0.1058,0.2496,0.6854,0,0.0309,0.1019,Y
0,0,0,0,0.0022,0.0696,0.0143,0.5,0.1438,0.3558,0.6742,0.5097,0.0103,0.1276,N
0,0,0,0,0,0.002,0.0113,0.8,0.0542,0.038,0.1798,0.0135,0.0515,0.1956,Y
0.0435,0,0,0,0,0.0075,0.0056,0.56,0.1984,0.0682,0.3933,0.324,0.0103,0.0878,N
0,0,0,0,0,0.0015,0.0056,0.75,0.0322,0.8248,0.3933,0.1652,0.0206,0.1124,Y
0.0435,0,0,0.0317,0.0112,0.2013,0.0494,0.33,0.1552,0.2194,0.4157,0.3916,0.0103,0.1593,N
0,0,0,0,0,0,0,0,0,0.8248,0.2809,0,0,0.1756,Y
0.087,0.05,0.1071,0,0.0004,0.0085,0.0847,0.66,0.1159,0.3558,0.6517,0.5968,0.0309,0.2283,N
0,0,0,0,0,0.002,0.0254,0.6,0.0894,0.1214,0,0.0004,0.0412,0.0738,Y
0,0,0,0.0021,0,0.0005,0.0085,0.33,0.6611,0.3558,0.2809,0.0957,0,0.0656,N
0,0,0,0.0085,0.0002,0.032,0.1667,0.47,0.2933,0.409,0.1461,0.0064,0.0412,0.1148,Y
0,0,0,0.073,0.0157,0.1482,0.0096,0.5,0.187,0.0682,0.6067,0.5721,0.0103,0.0843,N
0,0,0,0,0,0.0015,0.0042,0.6,0.0314,0.1662,0.0337,0.0377,0.0103,0.1815,Y
0.0435,0,0,0,0.0004,0.015,0.0487,0.58,0.155,0.3558,0.4382,0.4324,0.0206,0.0808,N
0,0,0,0,0,0,0,1,0,0.1662,0.0337,0,0.0206,0.2014,Y
0,0,0,0.0011,0.0026,0.0035,0.0282,0.62,0.0451,0.3558,0.2247,0.1114,0.0309,0.1639,N
0,0,0,0,0,0,0,0,0,0.409,0.0337,0,0,0.089,Y
0.087,0,0,0,0.009,0.005,0.0085,0.66,0.1051,0.7947,0.3258,0.3165,0.0206,0.1241,N
0,0,0,0,0,0.02,0.1568,0.73,0.1952,0.1662,0.0449,0.0101,0.0722,0.1639,Y
0.0435,0,0,0.0116,0.0008,0.1612,0.0446,0.69,0.2986,0.2194,0.2472,0.2096,0.1134,0.144,N
0,0,0,0,0,0,0,0,0,0.6966,0.0787,0,0,0.0972,Y
0.1304,0.15,0,0,0,0.004,0.0136,0.55,0.056,0.3558,0.427,0.3083,0.0103,0.123,N
0,0,0,0,0,0.0005,0.0169,1,0.5258,0.4538,0.0899,0,0.0309,0.1827,Y
0.087,0.05,0.0357,0.0212,0.0044,0.1657,0.0224,0.63,0.183,0.0682,0.573,0.4365,0.0309,0.1651,N
0,0,0,0,0,0.002,0.0042,0.2,0.1953,0.6966,0.191,0.1244,0,0.123,Y
0,0,0,0,0,0.0035,0.0212,0.33,0.32,0.0682,0.0562,0.0523,0,0.0398,N
0,0,0,0,0,0,0,1,0,0.1662,0.1236,0,0.0206,0.2482,Y
0.2174,0,0,0,0.056,0.1542,0.0084,0.52,0.1787,0.507,0.8989,0.5788,0.0103,0.2143,N
0,0,0,0,0.0002,0.013,0.0593,0.66,0.1263,0.1214,0.2921,0.0508,0.0412,0.1253,Y
0.2609,0.2,0.3214,0,0.0512,0.1477,0.0075,0.55,0.1386,0.0682,0.7303,0.725,0.0206,0.1194,N
0,0,0,0,0,0.006,0.2034,0.69,0.2163,0.1214,0.4382,0,0.0515,0.1405,Y
0,0,0,0.0243,0.004,0.0586,0.0442,0.57,0.1577,0.0682,0.2584,0.2567,0.0309,0.1042,N
0,0,0,0,0,0.0005,0.0169,1,0.1731,0.4538,0.3258,0,0.0309,0.0211,Y
0.087,0.05,0,0,0.0018,0.0135,0.0127,0.67,0.15,0.2194,0.2247,0.1203,0.0309,0.1838,N
0,0,0,0,0,0.002,0.0678,0.8,0.0895,0.4538,0.3371,0,0.0206,0.0679,Y
0.1304,0.1,0,0.0021,0.0401,0.0901,0.0073,0.78,0.135,0.507,0.618,0.6214,0.1237,0.0972,N
0,0,0,0,0,0.002,0,0.2,0.0593,0.6966,0.5506,0.4428,0,0.0902,Y
0.0435,0.05,0,0.0275,0.0311,0.0721,0.0129,0.52,0.2546,0.0682,0.5281,0.5097,0.0309,0.0972,N
0,0,0,0,0,0.0015,0.0169,0,0.0595,0.6966,0.4607,0.4675,0,0.1756,Y
0.0435,0.05,0,0,0.003,0.0516,0.022,0.59,0.2135,0.2194,0.3933,0.4047,0.0309,0.1066,N
0,0,0,0,0,0.005,0.1695,1,0.0739,0.4538,0.5506,0,0.1237,0.123,Y
0,0,0,0.0011,0.0112,0.0751,0.0063,0.67,0.1838,0.2226,0.6292,0.5206,0.0825,0,N
0,0,0,0,0,0,0,0,0,0.6966,0.5618,0,0,0.1276,Y
0,0,0,0,0.0004,0.005,0.0141,0.45,0.0939,0.065,0.6629,0.3632,0.0103,0.1347,N
0,0,0,0,0.0002,0.005,0.0203,0.81,0.0709,0.4538,0.7528,0.0131,0.1031,0.13,Y
0,0,0,0.0042,0.0032,0.009,0.0153,0.73,0.1444,0.5102,0.7079,0.4028,0.0515,0.1148,N
0,0,0,0,0,0.001,0.0085,0.33,0.0071,0.4538,0.764,0.7582,0,0.3255,Y
0,0,0,0,0.0052,0.1753,0.0129,0.73,0.1867,0.2226,0.6854,0.3984,0.1031,0,N
0,0,0,0,0.0004,0.0035,0.0424,0.71,0.0009,0.409,0.8202,0.0022,0.0309,0.1956,Y
0,0,0,0.0011,0.0076,0.1933,0.0371,0.37,0.2206,0.2226,0.7416,0.6536,0.0103,0.1066,N
0,0,0,0,0,0,0,1,0,0.4538,0.1461,0,0.0206,0.1323,Y
0,0,0,0.0116,0.0697,0.309,0.0298,0.82,0.2559,0.3526,0.8764,0.7612,0.2165,0.2342,N
0,0,0,0,0.001,0.011,0.113,0.6,0.0946,0.409,0.3371,0.1797,0.0309,0.1066,Y
0,0,0,0.0042,0.0048,0.0731,0.0114,0.57,0.2062,0.065,0.5281,0.5075,0.0309,0.1581,N
0,0,0,0,0,0,0,0,0,0.409,0.191,0,0,0.1838,Y
0.0435,0.05,0.0357,0,0.007,0.0766,0.0217,0.67,0.2041,0.2226,0.6404,0.4746,0.0619,0.2155,N
0,0,0,0,0,0.004,0.0593,0.66,0.0603,0.1214,0.2809,0.0781,0.0722,0.0855,Y
0.0435,0.05,0.0357,0,0.0271,0.0746,0.0047,0.77,0.1639,0.065,0.4382,0.4443,0.0722,0.1077,N
0,0,0,0,0,0.0055,0.0121,0.58,0.1259,0.1214,0.2247,0.0893,0.0206,0.1311,Y
0.3043,0.2,0,0.0021,0.0359,0.2148,0.0176,0.66,0.2006,0.3526,0.6517,0.6637,0.0412,0.1288,N
0,0,0,0,0,0.0005,0.0169,0,0.0122,0.6966,0.2135,0,0,0.0597,Y
0,0,0,0.0021,0.0002,0.0035,0.0508,1,0.1582,0.065,0.1573,0.1043,0.0928,0.2166,N
0,0,0,0,0,0.0045,0.0395,0.5,0.0619,0.1214,0.2247,0.0426,0.0103,0.0867,Y
0,0,0,0.0053,0.0096,0.0951,0.0305,0.77,0.197,0.3526,0.3933,0.4118,0.0825,0.2272,N
0,0,0,0,0.004,0.0045,0.0169,0.6,0.1769,0.1662,0.2584,0.0127,0.0103,0.0199,Y
0.0435,0.05,0.0357,0,0.0052,0.0956,0.0342,0.67,0.1861,0.3526,0.382,0.2227,0.0412,0.2389,N
0,0,0,0,0,0.0025,0.0169,0.66,0.0947,0.409,0.2809,0.0198,0.0103,0.1159,Y
0.087,0,0,0,0.0016,0.0035,0.0085,0.66,0.31,0.5102,0.4831,0.2922,0.0103,0.1511,N
0,0,0,0,0,0,0,0,0,0.409,0.2697,0,0,0.0937,Y
0,0,0,0,0.0012,0.0005,0.0169,1,0.2663,0.3526,0.1011,0,0.0309,0.1253,N
0,0,0,0,0,0.001,0,0.33,0.0659,0.5033,0.0562,0.0396,0,0.1019,Y
0,0,0,0.0127,0.0028,0.005,0.0452,0.9,0.2742,0.3526,0.236,0.0759,0.1134,0.171,N
0,0,0,0.0011,0.0012,0,0,0,0,0.0719,0.1236,0,0.0103,0.1054,Y
0.1304,0.05,0.1071,0.8148,0.2065,0.317,0.0064,0.68,0.2824,0.3526,0.5506,0.565,0.0619,0.2213,N
0,0,0,0,0,0,0,0,0,0.5033,0.1573,0,0,0.192,Y
0.1304,0.05,0.0357,0,0.0458,0.2404,0.0139,0.47,0.2799,0.065,0.6629,0.6872,0.0206,0.2693,N
0,0,0,0,0,0.001,0.0085,0.66,0.0817,0.0719,0.2697,0.0007,0.0309,0.2412,Y
0,0,0,0.0508,0.0048,0.025,0.0418,0.67,0.1574,0.5102,0.2135,0.17,0.0515,0.1405,N
0,0,0,0,0,0.003,0.0226,0.28,0.0648,0.0719,0.427,0.0688,0.0103,0.1511,Y
0.0435,0,0,0,0,0.009,0.0636,0.57,0.2196,0.2226,0.2022,0.0572,0.0103,0.1265,N
0,0,0,0,0,0.0005,0,1,0.0486,0.2445,0.3596,0.3513,0.0309,0.1358,Y
0.0435,0.05,0,0.0434,0.0066,0.0996,0.0224,0.56,0.2105,0.065,0.6854,0.6162,0.0309,0.096,N
0,0,0,0,0,0.0045,0.0254,1,0.1661,0.2445,0.2022,0.003,0.1134,0.144,Y
0.0435,0,0,0.0942,0.0193,0.2078,0.0305,0.59,0.2253,0.065,0.809,0.2504,0.1134,0.2084,N
0,0,0,0,0,0.001,0,1,0.0189,0.2445,0.3933,0.1091,0.0412,0.123,Y
0,0,0,0.0074,0.0014,0.013,0.0414,0.64,0.1505,0.065,0.0562,0.0643,0.0722,0.1042,N
0,0,0,0,0,0.0015,0.0169,0.75,0.1498,0.2445,0.3146,0.037,0.0206,0.1698,Y
0,0,0,0,0,0.0005,0,0,0.1295,0.2226,0.0787,0.0078,0,0.0972,N
0,0,0,0,0.0002,0.014,0.012,0.96,0.1812,0.2445,0.427,0.2758,0.299,0.123,Y
0.0435,0.05,0,0.0011,0.007,0.0105,0.0158,0.68,0.1723,0.2226,0.382,0.3957,0.0515,0.178,N
0,0,0,0.0021,0.005,0.0035,0.0102,0.75,0.1662,0.8306,0.1124,0.0994,0.0206,0.1253,Y
0,0,0.0357,0.0275,0.0269,0.3495,0.042,0.51,0.1852,0.2226,0.3708,0.3442,0.0206,0.1241,N
0,0,0,0,0,0.0025,0.0847,0.5,0.145,0.0322,0.3371,0,0.0103,0.144,Y
0,0,0,0,0,0.007,0.0085,0.8,0.1563,0.065,0.0562,0.0546,0.0309,0.1756,N
0,0,0,0,0,0,0,0,0,0.8306,0.0449,0,0,0.1288,Y
0,0,0,0,0,0.005,0.0847,0.41,0.2898,0.065,0.1573,0.1487,0.0103,0.2717,N
0,0,0,0,0,0.0015,0.0169,1,0.1682,0.3198,0.2921,0.0078,0.0515,0.1347,Y
0.0435,0.05,0.0357,0.0339,0.0088,0.0346,0.049,0.7,0.178,0.3526,0.191,0.1936,0.0412,0.1194,N
0,0,0,0,0,0.0035,0.1186,1,0.0632,0.0322,0.0787,0,0.0928,0.1066,Y
0,0,0,0.0222,0.0068,0.0656,0.0855,0.6,0.2239,0.2226,0.1236,0.1072,0.0309,0.1429,N
0,0,0,0,0,0.0065,0.0226,0.78,0.1983,0.0322,0.2022,0.0897,0.0412,0.2295,Y
0,0,0,0,0.0016,0.012,0.0145,0.53,0.195,0.065,0.2022,0.0351,0.0103,0.1874,N
0,0,0,0,0,0.0275,0.0078,0.68,0.1629,0.0322,0.3483,0.3599,0.0309,0.0785,Y
0,0,0,0.0127,0.0054,0.022,0.0456,0.68,0.2232,0.3526,0.0787,0.0938,0.0309,0.1007,N
0,0,0,0,0.0008,0.0005,0.0169,1,0.0211,0.3198,0.236,0,0.0309,0.2143,Y
0,0,0,0,0,0.002,0,1,0.085,0.4084,0.2135,0.1981,0.0619,0.1393,N
0,0,0,0,0.0002,0.0065,0.0127,0.71,0.1416,0.3198,0.236,0.0135,0.0309,0.0902,Y
0.0435,0,0,0,0.0002,0.0035,0.0212,0.77,0.2807,0.1668,0.3146,0.0131,0.0825,0.1721,N
0,0,0,0,0,0,0,1,0,0.0322,0.2697,0,0.0206,0.1335,Y
0.087,0.05,0,0,0.0002,0.0135,0.0013,0.75,0.106,0.4084,0.5169,0.5078,0.0412,0.103,N
0,0,0,0,0.0016,0.014,0.0533,0.75,0.131,0.0322,0.5281,0.0183,0.0722,0.1417,Y
0.1304,0.15,0.0357,0.0243,0.0066,0.0105,0.0185,0.73,0.0913,0.4084,0.3933,0.404,0.0412,0.1276,N
0,0,0,0,0,0,0,0,0,0.2025,0.0112,0,0,0.082,Y
0,0,0,0,0,0.0025,0.0034,0.16,0.0201,0.1668,0.3034,0.1495,0,0.123,N
0,0,0,0,0,0,0,0,0,0.2025,0.0674,0,0,0.2342,Y
0.087,0.1,0,0.0011,0.0044,0.0205,0.0305,0.76,0.1719,0.4084,0.4944,0.4626,0.0412,0.1581,N
0,0,0,0,0,0.0045,0.0113,0.7,0.0354,0.2025,0.1461,0.1368,0.0206,0.1803,Y
0,0,0,0.0508,0.006,0.02,0.0104,0.69,0.2461,0.1668,0.3371,0.3132,0.1031,0.1206,N
0,0,0,0,0,0,0,0,0,0.2025,0.1236,0,0,0.1546,Y
0.0435,0,0,0,0,0.003,0.0127,0.85,0.0902,0.1668,0.1236,0.0146,0.0722,0.144,N
0,0,0,0,0,0.001,0.0085,0.66,0.106,0.2025,0.2247,0.0037,0.0103,0.0644,Y
0.0435,0.1,0,0,0.0016,0.013,0.0339,0.62,0.0918,0.1208,0.573,0.1297,0.0103,0.1417,N
0,0,0,0,0,0.001,0,0.33,0.028,0.2025,0.3034,0.2276,0,0.0222,Y
0.087,0,0,0.0212,0.0373,0.2499,0.0267,0.49,0.185,0.1668,0.8539,0.8729,0.0103,0.0995,N
0,0,0,0,0,0.001,0,0,0.063,0.2025,0.5056,0.1913,0,0.7026,Y
0.1304,0.05,0,0,0.0145,0.1227,0.0175,0.66,0.1722,0.4084,0.7528,0.7653,0.0412,0.1464,N
0,0,0,0,0,0,0,0,0,0.0851,0.3708,0,0,0.089,Y
0.1304,0.05,0.0357,0,0,0.008,0.0071,0.17,0.0546,0.742,0.8202,0.7283,0,0.1382,N
0,0,0,0,0,0.003,0.0068,0.71,0.068,0.2025,0.4831,0.0557,0.0206,0.1276,Y
0.1304,0.1,0.0714,0.0021,0.0022,0.0761,0.0407,0.69,0.1882,0.4084,0.7303,0.6409,0.0412,0.1569,N
0,0,0,0,0,0.01,0.0275,0.85,0.1182,0.0161,0.0225,0.0284,0.0928,0.089,Y
0.0435,0.05,0,0.0021,0.0187,0.007,0.0169,0.56,0.2678,0.1208,0.3596,0.1846,0.0103,0.1499,N
0,0,0,0.0032,0,0.0025,0.0339,1,0.1462,0.0161,0.4157,0.1364,0.0722,0.1956,Y
0.0435,0,0.0357,0.1672,0.0068,0.0966,0.0696,0.44,0.1929,0.4544,0.2921,0.2866,0.0103,0.1265,N
0,0,0,0,0,0.017,0.037,0.4,0.2519,0.3037,0.1011,0.1039,0.0103,0.1311,Y
0.1304,0.05,0.0357,0.0063,0.0088,0.0946,0.0025,0.57,0.1931,0.1668,0.3596,0.3786,0.0515,0.1019,N
0,0,0,0,0,0,0,0,0,0.8467,0.1348,0,0,0.1487,Y
0,0,0,0,0,0.0095,0.0424,0.52,0.2939,0.0912,0.3371,0.2138,0.0206,0.0211,N
0,0,0,0,0.0018,0.003,0.0424,0.42,0.0808,0.0161,0.2135,0.1278,0.0103,0.2412,Y
0,0,0,0,0,0.0085,0.0339,0.55,0.1892,0.1964,0.1236,0.1259,0.0206,0.13,N
0,0,0,0,0,0.0045,0.0042,0.7,0.0846,0.5591,0.4607,0.2877,0.0206,0.1628,Y
0,0,0,0.0857,0.0002,0.1322,0.0154,0.69,0.2174,0.0912,0.4831,0.5022,0.0515,0.178,N
0,0,0,0,0,0,0,0,0,0.308,0.0449,0,0,0.1452,Y
0.0435,0,0,0.0095,0.0046,0.0361,0.0257,0.45,0.2152,0.1964,0.6404,0.5818,0,0.1136,N
0,0,0,0,0,0.0065,0.0028,0.64,0.0585,0.308,0.3371,0.2336,0.0206,0.2272,Y
0,0,0,0,0,0.011,0.0412,0.45,0.2073,0.484,0.2135,0.2096,0.0103,0.2061,N
0,0,0,0,0,0,0,0,0,0.0204,0.1685,0,0,0.2998,Y
0.1304,0.1,0,0,0.0343,0.1202,0.0276,0.88,0.2139,0.1964,0.7528,0.7732,0.1959,0,N
0,0,0,0,0,0.0521,0.016,0.4,0.2472,0.2672,0.5618,0.3262,0.0206,0.2225,Y
0,0,0,0,0.0052,0.0135,0.0358,0.71,0.1881,0.0912,0.2022,0.1913,0.0309,0.1042,N
0,0,0,0,0,0.0015,0.0056,0.25,0.0195,0.308,0.427,0.0314,0,0.3407,Y
0,0,0,0,0,0.001,0,1,0.0383,0.484,0.0899,0.0093,0.0412,0.0972,N
0,0,0,0,0.0014,0.004,0,0.55,0.1447,0.3356,0.1798,0.1723,0.0103,0.1077,Y
0,0,0,0.0413,0.0241,0.3375,0.0281,0.48,0.2511,0.3788,0.3258,0.3404,0.0206,0.1206,N
0,0,0,0,0,0,0,1,0,0.048,0.0449,0,0.0206,0.1241,Y
0.0435,0,0,0,0.0004,0.004,0.0021,0.33,0.1084,0.3788,0.382,0.2791,0,0.1288,N
0,0,0,0,0,0,0,0,0,0.2396,0.0449,0,0.0103,0.0972,Y
0.0435,0,0,0,0,0.0381,0.0918,0.54,0.204,0.1964,0.0899,0.0639,0.0206,0.2658,N
0,0,0,0,0.0002,0.001,0,0.66,0.0418,0.8148,0.4045,0.3288,0.0103,0.1511,Y
0.0435,0,0,0,0.0004,0.0035,0.0024,1,0.0391,0.484,0.2247,0.219,0.0928,0.1792,N
0,0,0,0,0,0.001,0.0339,0.66,0.0342,0.3356,0.0674,0,0.0309,0.1124,Y
0.0435,0,0,0,0,0.0125,0.0169,0.69,0.175,0.6477,0.764,0.5232,0.0206,0.0773,N
0,0,0,0,0.0012,0.003,0.0226,0.85,0.0486,0.048,0.1348,0.009,0.0722,0.1066,Y
0.0435,0,0,0.0095,0.0116,0.1257,0.036,0.61,0.2367,0.3601,0.2584,0.2541,0.0206,0.1522,N
0,0,0,0,0,0,0,0,0,0.8148,0.1236,0,0,0.1089,Y
0,0.05,0,0,0,0.021,0.0051,0.93,0.1987,0.0725,0.2022,0.1984,0.2062,0.0878,N
0,0,0,0,0,0,0,1,0,0.3356,0.2809,0,0.0206,0.1393,Y
0,0,0,0,0,0.0075,0.0132,0.87,0.0962,0.5027,0.618,0.358,0.1546,0.1007,N
